metric,sample_size,nearest_neighbor_mean,nearest_neighbor_median,nearest_neighbor_q95,fifth_neighbor_mean,fifth_neighbor_median,fifth_neighbor_q95
euclidean,3000,2.5417838529631704,2.288304230995859,5.0314558024084075,3.360012467343134,2.9648298030087927,5.826649923184823
manhattan,3000,9.9734429955214,8.94375330025207,19.87586729061805,13.244521868743616,11.736098886602603,23.769233456944033
mahalanobis,1500,2.7379451975262956,2.4445520633567637,5.29110493197773,3.6202275189947533,3.200282911901158,5.96490253408772
