ordered_training_position
209765
128119
98061
191826
202266
219888
219282
143993
123105
105728
98431
62672
105919
112341
133242
126244
110871
102012
76127
107373
113285
124020
82475
94275
62793
55309
28921
53629
209868
23445
31806
107773
92739
91149
101339
211998
188207
210451
173850
54278
80308
62551
45876
141052
112003
68879
77657
3162
61716
45630
66835
17966
40076
29909
37844
84765
103689
123593
125846
98400
65349
131753
21430
198417
209915
176906
224872
101364
98694
87792
114567
113330
135270
113611
65790
53017
99042
116827
125447
122964
39542
173664
190202
18759
21851
19148
45295
62691
40688
52801
99398
41348
196952
93076
114886
67283
94627
52107
54667
162505
42925
103987
188682
218472
163594
125621
17295
101867
31665
37675
205958
204619
219887
105013
14455
137547
32768
34374
193765
158612
118235
163333
143957
143084
112767
72802
92105
68530
65003
20626
212910
188248
164151
94728
58059
56857
216136
202069
205146
207755
138872
118076
178862
216289
201120
51408
147335
26749
93059
106074
1203
167563
31848
182337
186362
180552
220491
204134
177662
14729
98443
78652
21330
131857
125905
20213
83309
217538
178106
97963
202316
76831
69980
74790
104880
220970
202347
205397
131313
127892
193921
28081
196118
55625
216857
15385
183324
71667
194204
24623
27849
135984
19868
20523
37427
36553
225106
19145
211749
186215
221170
166642
163113
203484
172140
51472
168719
84931
144276
212619
162526
82436
45984
158684
159606
158656
171723
224405
219700
219933
163725
102034
34352
159783
188552
28619
75191
182376
169814
34952
176327
194417
26986
201060
167055
2248
177028
95115
82013
37337
104687
83986
71195
63770
172393
142867
169413
1668
123818
182551
190808
24771
70406
96666
106752
106377
130209
125994
129649
106514
34523
52213
30003
143833
176379
174874
83926
210289
210480
203234
187388
75862
222709
212320
193403
59541
90218
225758
226433
60542
202673
188565
103325
72697
173354
165628
179915
192710
24057
32648
59738
17946
123988
93643
86365
112222
99535
26309
18350
70301
92582
67777
71932
109365
98607
104342
21469
29738
33633
66538
182462
167684
171966
218042
187419
70772
48629
1477
136889
112726
74808
83060
143873
20409
192227
40670
224962
36405
105086
132427
128725
170990
173240
126724
24032
20869
38680
100041
100437
116244
173969
45330
63370
220821
167106
29017
113566
137635
110355
184494
180262
106851
73814
26959
180848
180139
215005
65328
207970
13213
153758
157926
5147
7862
152186
153660
150647
157945
8443
149780
154737
155525
150421
148249
151753
10160
151461
154975
150014
149554
219183
135465
64531
86204
41184
75766
183329
176820
8485
65986
187473
4426
4075
178409
119242
190704
101128
150099
120467
114456
69362
59198
24435
31677
15345
139402
63641
213036
98071
128085
32039
117700
194460
120936
100960
142552
60268
37666
84129
39721
142223
125648
175131
115362
71595
44566
212527
36513
178306
171742
208990
177491
98968
148295
150601
9923
145839
153568
154638
54120
29434
5695
25952
211814
50680
175287
157830
113276
27643
94818
44091
5641
68343
7239
111274
34775
5016
111716
4048
152458
42676
183139
157529
133990
31791
78749
123544
136613
178040
188654
99616
10187
128874
5170
150380
162333
150561
142682
162513
6983
19465
72730
68021
83024
217918
4901
63782
174329
164880
40988
168403
9435
68291
169415
217357
176535
212667
169940
22028
151040
