ordered_training_position
209765
128119
98061
128725
132427
105919
112341
105728
98431
123105
133242
126244
110871
102012
76127
107373
113285
124020
82475
94275
62793
55309
28921
107773
92739
91149
53629
31806
101339
103689
123593
98400
125846
61716
45630
66835
29909
37844
65349
17966
65790
53017
40076
116827
99042
54278
62551
45876
80308
77657
84765
101364
98694
87792
114567
113330
135270
113611
141052
112003
210451
211998
188207
173850
99398
209868
122964
45295
62691
40688
52801
41348
93076
114886
67283
94627
68879
23445
198417
209915
176906
224872
125447
188682
218472
18759
21851
19148
125621
101867
103987
196952
31665
37675
52107
54667
131753
21430
105013
68530
65003
32768
34374
39542
42925
178862
216289
173664
190202
201120
205958
204619
94728
17295
62672
72802
92105
56857
106074
118076
193765
58059
158612
163333
163594
93059
14455
98443
112767
83309
3162
143084
143957
138872
1203
137547
26749
31848
167563
182337
186362
180552
177662
220491
204134
162505
127892
78652
69980
74790
104880
20626
196118
118235
51408
131857
76831
14729
202069
205146
216136
193921
212910
188248
164151
202347
205397
216857
202316
15385
219887
21330
97963
20213
45984
178106
217538
183324
125905
163725
55625
71667
34352
36553
19868
20523
37427
19145
163113
166642
221170
203484
172140
186215
211749
51472
37337
219700
219933
144276
169814
34952
176327
26986
194417
201060
167055
95115
82013
82436
28081
225106
131313
104687
75191
71195
182376
171723
169413
102034
168719
84931
30003
162526
182551
177028
212619
159783
203234
142867
59541
27849
24623
193403
225758
143833
176379
174874
28619
83986
125994
130209
106752
96666
106377
129649
70406
24771
207755
75862
222709
158684
159606
158656
212320
172393
103325
72697
220970
135984
83926
187388
90218
224405
210289
34523
52213
86365
93643
112222
99535
92582
70301
67777
71932
26309
109365
98607
18350
105086
63770
194204
188552
190808
123818
2248
210480
179915
192710
24057
20869
38680
226433
173354
165628
106514
126724
24032
66538
182462
167684
171966
187419
218042
74808
112726
70772
48629
1477
136889
83060
143873
192227
32648
104342
116244
1668
21469
143993
147335
180139
184494
173240
170990
180262
29738
33633
20409
188565
36405
65328
207970
40670
73814
224962
59738
17946
123988
86204
215005
180848
65986
187473
176820
63370
100041
100437
106851
119242
173969
41184
75766
183329
219183
167106
220821
29017
178409
13213
5147
157926
7862
152186
153660
149780
154737
153758
150421
157945
155525
150647
8443
148249
151753
10160
8485
150099
190704
64531
113566
137635
110355
151461
154975
150014
149554
60542
202673
120467
4426
4075
63641
26959
69362
31677
15345
98071
45330
139402
59198
24435
202266
219888
219282
128085
71595
44566
135465
98968
148295
150601
142552
60268
37666
120936
100960
117700
32039
194460
84129
101128
175131
142223
125648
153568
178306
171742
177491
208990
5695
9923
175287
157830
25952
211814
145839
94818
115362
113276
54120
36513
114456
191826
50680
39721
111274
34775
5641
213036
68343
212527
7239
29434
42676
111716
5016
4048
44091
27643
183139
133990
152458
154638
123544
188654
136613
31791
157529
78749
128874
99616
10187
5170
178040
150380
162333
150561
142682
6983
162513
19465
72730
83024
68021
217918
63782
174329
4901
40988
164880
168403
9435
68291
169415
217357
176535
212667
169940
22028
151040
