cluster,exemplar_type,sample_position,array_index,row_id,Class_external_only,silhouette,distance_to_centroid
0,centroid_exemplar,136,13675,13675,0,0.6481418829121673,5.028779081836886
0,highest_silhouette,136,13675,13675,0,0.6481418829121673,5.028779081836886
0,boundary_point,1658,150088,150088,1,0.5923465741984025,11.196980115829604
1,centroid_exemplar,511,46016,46016,0,0.8669955959587726,2.200822218166675
1,highest_silhouette,511,46016,46016,0,0.8669955959587726,2.200822218166675
1,boundary_point,1898,172698,172698,0,0.14776261138754038,61.45601252911371
