algorithm,parameters,requested_k,n_records,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,base_id,dimension,seed,covariance
KMeans,"base_id=0,k=2,dimension=5,seed=42.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,0,5,42.0,
KMeans,"base_id=1,k=2,dimension=5,seed=43.0,covariance=None",2,2500,2,0.14443799213140954,2.1645630969622527,108.85622676315015,-0.0035780708977594614,0.001127979745995542,-0.00023281527306559275,0.9231286694143453,0.011269641806031834,0.0005937017092160343,0.0011279797459955421,0.998,1,5,43.0,
KMeans,"base_id=2,k=2,dimension=5,seed=44.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,2,5,44.0,
KMeans,"base_id=3,k=2,dimension=5,seed=45.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,3,5,45.0,
KMeans,"base_id=4,k=2,dimension=5,seed=46.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,4,5,46.0,
KMeans,"base_id=5,k=3,dimension=5,seed=42.0,covariance=None",3,2500,3,0.04574033854832898,3.0401285065033914,127.32920089110428,0.0026410400138569103,0.014382677481879222,0.01368364398991971,0.718243108602411,0.34783795110269733,0.007343153997602192,0.014382677481879222,0.9984,5,5,42.0,
KMeans,"base_id=6,k=3,dimension=5,seed=43.0,covariance=None",3,2500,3,0.0497343672968848,3.132188046081095,126.88095437051584,0.0032737735736970835,0.01255043091759896,0.011871704764332296,0.7067776523522283,0.310872332618595,0.0064044955039343045,0.01255043091759896,0.9984,6,5,43.0,
KMeans,"base_id=7,k=3,dimension=5,seed=44.0,covariance=None",3,2500,3,0.14915417571789197,1.5523129012008603,137.9509460718563,0.016136332343786162,0.030207241001797544,0.028841873479895478,0.9235227891017412,0.31140276283799034,0.015873515919548498,0.030207241001797544,0.9984,7,5,44.0,
KMeans,"base_id=8,k=3,dimension=5,seed=45.0,covariance=None",3,2500,3,0.14915417571789197,1.5523129012008603,137.9509460718563,0.016136332343786162,0.030207241001797544,0.028841873479895478,0.9235227891017412,0.31140276283799034,0.015873515919548498,0.030207241001797544,0.9984,8,5,45.0,
KMeans,"base_id=9,k=3,dimension=5,seed=46.0,covariance=None",3,2500,3,0.14915417571789197,1.5523129012008603,137.9509460718563,0.016136332343786162,0.030207241001797544,0.028841873479895478,0.9235227891017412,0.31140276283799034,0.015873515919548498,0.030207241001797544,0.9984,9,5,46.0,
KMeans,"base_id=10,k=4,dimension=5,seed=42.0,covariance=None",4,2500,4,0.05900155224280712,2.7322517513939757,127.1535208307278,0.0017454712567716495,0.011151388557936884,0.010196256662177758,0.6616174818457543,0.35795397402652224,0.00566391869142313,0.011151388557936884,0.9984,10,5,42.0,
KMeans,"base_id=11,k=4,dimension=5,seed=43.0,covariance=None",4,2500,4,0.059172644918206216,2.7353673715248195,127.14112253092837,0.0017568842358417242,0.011155697323134704,0.010201538376947768,0.6610782458084854,0.35839808889793895,0.00566603066515792,0.011155697323134704,0.9984,11,5,43.0,
KMeans,"base_id=12,k=4,dimension=5,seed=44.0,covariance=None",4,2500,4,0.059201403770010916,2.735780519602735,127.13960572996002,0.0017585566413980864,0.011156352413762803,0.010202328983328107,0.6610031211647207,0.35846172790145936,0.005666352744568114,0.011156352413762803,0.9984,12,5,44.0,
KMeans,"base_id=13,k=4,dimension=5,seed=45.0,covariance=None",4,2500,4,0.05898008621473026,2.7325851084959374,127.143370487935,0.0017454712567716495,0.011151388557936884,0.010196256662177756,0.6616174818457543,0.35795397402652224,0.005663918691423129,0.011151388557936884,0.9984,13,5,45.0,
KMeans,"base_id=14,k=4,dimension=5,seed=46.0,covariance=None",4,2500,4,0.05915217108861239,2.7329870529132556,127.15617081912184,0.001748679631309908,0.01115257017297809,0.010197720613222435,0.661461029721599,0.35808062220197523,0.005664496640480828,0.011152570172978089,0.9984,14,5,46.0,
KMeans,"base_id=15,k=5,dimension=5,seed=42.0,covariance=None",5,2500,5,0.045505656981969594,2.7794813055798735,115.57238067092959,0.0012759514556314197,0.007879581983657732,0.006787787382809954,0.5566278236125553,0.34734256122246226,0.003984991422357923,0.00787958198365773,0.9984,15,5,42.0,
KMeans,"base_id=16,k=5,dimension=5,seed=43.0,covariance=None",5,2500,5,0.04561973636404896,2.782329484368476,115.58978976635947,0.0012688215224904422,0.007870958897358915,0.006779633879506059,0.5561489342509048,0.34722692073014155,0.003980595628777521,0.007870958897358915,0.9984,16,5,43.0,
