cluster,cluster_size,prototype_type,sample_position,array_index,row_id,Class_external_only,silhouette,distance_to_centroid,sum_distance_to_cluster,mean_distance_to_cluster,medoid_centroid_same_record
0,3,medoid,136,13675,13675,0,0.6481418829121673,5.028779081836886,25.538960857994105,12.769480428997053,True
0,3,highest_silhouette,136,13675,13675,0,0.6481418829121673,5.028779081836886,25.538960857994105,12.769480428997053,True
0,3,boundary_point,1658,150088,150088,1,0.5923465741984025,11.196980115829604,34.85464589247307,17.427322946236536,True
0,3,centroid_exemplar,136,13675,13675,0,0.6481418829121673,5.028779081836886,25.538960857994105,12.769480428997053,True
1,2497,medoid,511,46016,46016,0,0.8669955959587726,2.200822218166675,13027.153882133189,5.21921229252131,True
1,2497,highest_silhouette,511,46016,46016,0,0.8669955959587726,2.200822218166675,13027.153882133189,5.21921229252131,True
1,2497,boundary_point,1898,172698,172698,0,0.14776261138754038,61.45601252911371,153988.65380394133,61.69417219709188,True
1,2497,centroid_exemplar,511,46016,46016,0,0.8669955959587726,2.200822218166675,13027.153882133189,5.21921229252131,True
