algorithm,parameters,n_records,n_clusters,noise_fraction,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity
KMeans,k=2,6000,2,0.0,0.16568591699999757,0.18070992280633338,2.221314555862618,284.36391756604394,0.0036781537324972738,0.0005055702711922035,-0.00014596885764251615,0.9201063227034393,0.005222331554330212,0.00026564351730624117,0.0005055702711922035,0.998
Hierarchical,"k=2,linkage=single",6000,2,0.0,0.3527867090000001,0.8892326041611816,0.07740834302320405,132.71336077206786,-0.00030722133621334486,4.159802853790664e-05,-0.00026000861594310587,0.9978346575911162,2.3129547387896395e-05,0.0002064213472209572,4.159802853790664e-05,0.998
DBSCAN,"eps=11.405267,min_samples=30",6000,1,0.004166666666666667,0.6647974999999988,,,,0.26707723272233874,0.15942990119068362,0.15838381649080618,0.995494131663156,0.22886521757972556,0.12231945595022067,0.15942990119068365,0.998
GMM,"k=8,covariance=full",6000,8,0.0,1.0770157910000009,0.03617527465352979,4.147336611969541,134.7119948854929,0.0014262658432302767,0.0051390207385563534,0.004422492960956298,0.45917962802513707,0.3193680304024034,0.002590351323766025,0.005139020738556354,0.998
