algorithm,parameters,n_records,n_clusters,noise_fraction,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,algorithm_original,rank_silhouette,rank_davies_bouldin,rank_calinski_harabasz,internal_rank_sum,internal_rank_average,seed_ari_mean,seed_ari_std,seed_ari_min,seed_ari_max,seed_pair_count,selected_k,final_order
Hierarchical,"k=2,linkage=single",6000,2,0.0,0.3540026659999995,0.8892326041611816,0.077408343023204,132.71336077206786,-0.0003072213362133,4.159802853790664e-05,-0.0002600086159431,0.9978346575911162,2.3129547387896395e-05,0.0002064213472209,4.159802853790664e-05,0.998,Hierarchical,1.0,1.0,3.0,5.0,1.6666666666666667,,,,,,2,1
KMeans,k=2,6000,2,0.0,0.1626255830000005,0.1807099228063333,2.221314555862618,284.36391756604394,0.0036781537324972,0.0005055702711922,-0.0001459688576425,0.9201063227034392,0.0052223315543302,0.0002656435173062,0.0005055702711922,0.998,KMeans,2.0,2.0,1.0,5.0,1.6666666666666667,0.29672611107569874,0.4142918909327595,-0.0100719348231234,1.0,190.0,2,2
GMM,"k=8,covariance=full",6000,8,0.0,1.175882042000005,0.0361752746535297,4.147336611969541,134.7119948854929,0.0014262658432302,0.0051390207385563,0.0044224929609562,0.459179628025137,0.3193680304024034,0.002590351323766,0.0051390207385563,0.998,GMM,3.0,3.0,2.0,8.0,2.6666666666666665,0.5556967374568382,0.14184998758659706,0.2180653534567585,0.937616599717239,190.0,8,3
