linkage,fixed_height,fixed_height_ratio,fixed_height_k,maximum_silhouette_k,maximum_silhouette_height,ari_between_strategies,cophenetic_correlation
single,34.47812704447802,0.7,2,2,41.51601134156897,1.0,0.9449035054336191
complete,62.13338132056073,0.7,2,2,74.40679939947553,1.0,0.7787168434641618
average,43.21643309619142,0.7,3,2,55.17450822429183,0.666332999666333,0.9538541303163556
ward,60.88668393361748,0.7,4,2,78.69756666803335,0.013880931766776315,0.27425627335104985
