algorithm,parameters,n_records,n_clusters,noise_fraction,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,k,inertia,iterations
KMeans,k=2,6000,2,0.0,0.4404667499999997,0.18070992280633338,2.221314555862618,284.36391756604394,0.0036781537324972738,0.0005055702711922035,-0.00014596885764251615,0.9201063227034393,0.005222331554330212,0.00026564351730624117,0.0005055702711922035,0.998,2,166769.4432808559,11
KMeans,k=3,6000,3,0.0,0.18585370800000067,0.1726875920490591,1.831121163944957,269.53999268609573,0.012151421584996758,0.02254339345106299,0.021852533783713254,0.9199523932890239,0.23976760441659778,0.011827729209247287,0.022543393451062994,0.998,3,160269.10004423535,13
KMeans,k=4,6000,4,0.0,0.3680007499999993,0.06625063019227541,3.311503493402448,244.67525275109148,-0.00035427855859092273,0.0008636988419891027,0.00039416470971320066,0.5828873190143624,0.036170128981158685,0.0004370677450075854,0.0008636988419891027,0.998,4,155624.5130029172,25
KMeans,k=5,6000,5,0.0,1.139566916999999,0.06359693392276074,2.8848603189593502,251.7358937207586,0.0010840473724384064,0.0064246023014954455,0.005961948636359674,0.5721729829215734,0.27766339093984327,0.0032498993934474505,0.0064246023014954455,0.9985,5,149556.32877291148,13
KMeans,k=6,6000,6,0.0,0.2884872079999994,0.06868115825730896,2.5201303204249155,255.914092187897,0.0006670649447711834,0.00680787297036248,0.006278369353335688,0.5777755047619287,0.2960942962889931,0.003443523657108988,0.006807872970362479,0.9985,6,143946.89506298094,44
KMeans,k=7,6000,7,0.0,0.32149658300000006,0.07525034331236376,2.4225934114569614,250.2929202970109,0.0004222252416657742,0.006188563070338242,0.005584950721672711,0.5466173428998499,0.30173874185788946,0.0031263416584626927,0.0061885630703382415,0.9985,7,139675.37620072905,48
KMeans,k=8,6000,8,0.0,0.3357448329999997,0.07577972662946375,2.3277331069285676,240.82927301354965,0.0004029521217288258,0.0061025465836475916,0.005471718722516153,0.5444622968523594,0.3020454857652446,0.0030824119169643237,0.006102546583647591,0.9985,8,136322.63822624536,33
