sorted_position,k_distance,min_samples
0,1.055257351599171,10
1,1.0649596205055731,10
2,1.103604878659899,10
3,1.124270035899362,10
4,1.1331721153315983,10
5,1.1353462124858416,10
6,1.177176089287802,10
7,1.189013169773165,10
8,1.1984713243426324,10
9,1.218080637498671,10
10,1.2196820543897586,10
11,1.2237909147906727,10
12,1.2419491844395083,10
13,1.2449562352935013,10
14,1.2473845209762973,10
15,1.2667228228196454,10
16,1.2695683896295387,10
17,1.2710092877119157,10
18,1.2710472717468675,10
19,1.2725204064098572,10
20,1.2745636004879073,10
21,1.2790891053278548,10
22,1.2899189308081458,10
23,1.2899189308081458,10
24,1.2918691010077787,10
25,1.2925263382126295,10
26,1.2940250867583618,10
27,1.3001605949313528,10
28,1.3031175122178478,10
29,1.3055942548790525,10
30,1.308878623589435,10
31,1.31364190231785,10
32,1.3172664713325197,10
33,1.3172664713325197,10
34,1.3180481217617703,10
35,1.3377538763055066,10
36,1.3380273369675129,10
37,1.3392687544389612,10
38,1.3400467112175205,10
39,1.3426379976515581,10
40,1.344668117398966,10
41,1.3484237485685064,10
42,1.3519704828905008,10
43,1.3586007961507236,10
44,1.3599596852844107,10
45,1.3703265125536899,10
46,1.3737745057465802,10
47,1.376164930548639,10
48,1.3811821751954643,10
49,1.38399070556028,10
50,1.3872593001428184,10
51,1.3976807841431487,10
52,1.398103838915537,10
53,1.4011627603766004,10
54,1.4032200560408403,10
55,1.4036303256603941,10
56,1.4036787726800894,10
57,1.4042457045453955,10
58,1.4050896329477718,10
59,1.4065052225216073,10
60,1.408682690771769,10
61,1.411560225645231,10
62,1.41203111231848,10
63,1.4151949009181837,10
64,1.4180866433440127,10
65,1.4205495992759167,10
66,1.4289179487106345,10
67,1.4299184068564086,10
68,1.4306292792206674,10
69,1.4426594923367462,10
70,1.4430844622180787,10
71,1.44800364020228,10
72,1.4486051172115024,10
73,1.4525127913768825,10
74,1.4529056127375675,10
75,1.4565254688633744,10
76,1.4575928293783524,10
77,1.4575928293783524,10
78,1.4596998391447555,10
79,1.4602109116744948,10
80,1.4603046163608184,10
81,1.462312795450067,10
82,1.4647474129024853,10
83,1.4651038702012205,10
84,1.46957549962354,10
85,1.4698427288991127,10
86,1.4734602471490525,10
87,1.4752002864253762,10
88,1.4767209390523324,10
89,1.4767209390523324,10
90,1.4772499329997517,10
91,1.4777912148470456,10
92,1.4801944695821159,10
93,1.4832229798235514,10
94,1.4849742996372204,10
95,1.4898879748506753,10
96,1.491737162149076,10
97,1.491829310582678,10
98,1.4928422597918611,10
99,1.495491438430343,10
100,1.4958354685971842,10
101,1.4988383150107334,10
102,1.4988383150107334,10
103,1.5034727166390485,10
104,1.5034874690849414,10
105,1.5058628057370522,10
106,1.5085158452555445,10
107,1.5106431529896651,10
108,1.5107504314958748,10
109,1.5141890065664863,10
110,1.515223263168598,10
111,1.5152569867787065,10
112,1.5156544020148643,10
113,1.5188858392723614,10
114,1.5195359045043038,10
115,1.5196132582006647,10
116,1.5199053358674324,10
117,1.5202959388185084,10
118,1.5206326180278376,10
119,1.5221435916574615,10
120,1.5275047111253508,10
121,1.5356953896032366,10
122,1.5369222842881132,10
123,1.5384158580751404,10
124,1.5391284402456173,10
125,1.5475355896030834,10
