algorithm,pair_id,pairwise_ari
KMeans,0,0.11216589237408103
KMeans,1,0.0008504751368505157
KMeans,2,-0.0045900296378461256
KMeans,3,0.0008504751368505157
KMeans,4,0.0008617609110156048
KMeans,5,0.017855149977907936
KMeans,6,-0.00918026891193772
KMeans,7,0.016903769251257698
KMeans,8,0.00950787510758933
KMeans,9,0.00950787510758933
KMeans,10,-0.01007193482312347
KMeans,11,0.0008504751368505157
KMeans,12,0.02055741108279841
KMeans,13,1.0
KMeans,14,0.0008617609110156048
KMeans,15,0.0010140643800366554
KMeans,16,0.0010778818568979328
KMeans,17,-0.0070579954717113706
KMeans,18,0.0013194205117180746
KMeans,19,0.11822541806182871
KMeans,20,-0.00922865492757276
KMeans,21,0.11776657445772917
KMeans,22,0.1175355461636251
KMeans,23,0.16741864694372582
KMeans,24,-0.0030355156478037047
KMeans,25,0.19611952773588173
KMeans,26,-0.0005957816689398338
KMeans,27,-0.0005957816689398338
KMeans,28,0.3144731108705282
KMeans,29,0.11822541806182871
KMeans,30,0.21177982774746074
KMeans,31,0.11216589237408103
KMeans,32,0.11707803540144922
KMeans,33,0.11753941671393334
KMeans,34,0.11892110549475615
KMeans,35,0.30159256297739495
KMeans,36,0.11984790785949638
KMeans,37,0.00736305272242258
KMeans,38,0.998666860776782
KMeans,39,0.9940078735403317
KMeans,40,0.842085858523094
KMeans,41,0.0008043423414390344
KMeans,42,0.7980108888060721
KMeans,43,0.00015504000581220736
KMeans,44,0.00015504000581220736
KMeans,45,0.01983608439548052
KMeans,46,1.0
KMeans,47,0.7615074913101783
KMeans,48,0.0008504751368505157
KMeans,49,0.9833996570798245
KMeans,50,0.9847225789010399
KMeans,51,0.9966688210191103
KMeans,52,0.018822970241856047
KMeans,53,0.9953379072066569
KMeans,54,0.007499461281273117
KMeans,55,0.007402883320325269
KMeans,56,0.0039012398107272105
KMeans,57,0.6372358162786159
KMeans,58,0.0032315223113107945
KMeans,59,0.012084289928643655
KMeans,60,0.012084289928643655
KMeans,61,-0.004976101359474818
KMeans,62,0.00736305272242258
KMeans,63,0.002242095747648134
KMeans,64,-0.0045900296378461256
KMeans,65,0.007266916669697784
KMeans,66,0.007188243672719736
KMeans,67,0.007244094479086556
KMeans,68,-0.00416612836649507
KMeans,69,0.007165233370595136
KMeans,70,0.9926787347866896
KMeans,71,0.842085858523094
KMeans,72,0.0008949025740780738
KMeans,73,0.7968200243058773
KMeans,74,0.00015504000581220736
KMeans,75,0.00015504000581220736
KMeans,76,0.020025462816535312
KMeans,77,0.998666860776782
KMeans,78,0.7603441869439932
KMeans,79,0.0008504751368505157
KMeans,80,0.9833996570798245
KMeans,81,0.9847225789010399
KMeans,82,0.9966688210191103
KMeans,83,0.01900745624546415
KMeans,84,0.9940078810678109
KMeans,85,0.8414740908218835
KMeans,86,0.0008136181549599251
KMeans,87,0.7962249265504965
KMeans,88,0.00015587138261835936
KMeans,89,0.00015587138261835936
KMeans,90,0.019179558400539806
KMeans,91,0.9940078735403317
KMeans,92,0.7597628694535168
KMeans,93,0.0008617609110156048
KMeans,94,0.9880337479037195
KMeans,95,0.9867086152949142
KMeans,96,0.9933431972650109
KMeans,97,0.018183693197999323
KMeans,98,0.9920145072288641
KMeans,99,0.00037387195838330844
KMeans,100,0.8892305372293491
KMeans,101,5.58432834263349e-06
KMeans,102,5.58432834263349e-06
KMeans,103,0.029423618568147503
KMeans,104,0.842085858523094
KMeans,105,0.8642574858961576
KMeans,106,0.017855149977907936
KMeans,107,0.8426978498172606
KMeans,108,0.8426978484918459
KMeans,109,0.8439224952318359
KMeans,110,0.027951238184806694
KMeans,111,0.8463744571777074
KMeans,112,0.0002251186260441957
KMeans,113,-0.0015412056539894064
KMeans,114,-0.0015412056539894064
KMeans,115,-0.0002047344641945743
KMeans,116,0.0008043423414390344
KMeans,117,-3.934574388094791e-05
KMeans,118,-0.00918026891193772
KMeans,119,0.0007235007946452585
KMeans,120,0.0007058985522251307
KMeans,121,0.0007768192934949926
KMeans,122,-0.00019981702508544357
