sorted_position,k_distance,min_samples
0,1.6245252330774325,30
1,1.6471335760355177,30
2,1.6772234386964926,30
3,1.6904086516883678,30
4,1.7162536141071578,30
5,1.7168940697712451,30
6,1.7253307859646232,30
7,1.7271978061854185,30
8,1.7305831906652307,30
9,1.7688270197692455,30
10,1.7778947442740682,30
11,1.789251475625978,30
12,1.8006283593927161,30
13,1.8020005018567617,30
14,1.8031252369310338,30
15,1.803896925119543,30
16,1.8042580936523263,30
17,1.8162947317615468,30
18,1.8220331760033917,30
19,1.8242977969815295,30
20,1.8242977969815295,30
21,1.8348033293556847,30
22,1.8475164761939822,30
23,1.8507538187978512,30
24,1.8702444383417183,30
25,1.8708716005974229,30
26,1.876379091574555,30
27,1.8809639350729026,30
28,1.8832016271769405,30
29,1.8883284952339265,30
30,1.8891420945083972,30
31,1.8945545303562574,30
32,1.8975943710490157,30
33,1.90110650966621,30
34,1.9067246086716299,30
35,1.907663523873515,30
36,1.9192218658295355,30
37,1.9348932438115503,30
38,1.9372029258507613,30
39,1.9399473621059253,30
40,1.9426237725141504,30
41,1.9510485381724987,30
42,1.9524753151434775,30
43,1.9528362408268702,30
44,1.9585086114980732,30
45,1.959697412625651,30
46,1.9661326003121713,30
47,1.9668946941914602,30
48,1.9701935478131076,30
49,1.987823873707564,30
50,1.9914009126116188,30
51,2.002223708265821,30
52,2.0035817548285824,30
53,2.0062368781555513,30
54,2.0080831343862684,30
55,2.0094362702384716,30
56,2.009557710327471,30
57,2.009761698130632,30
58,2.010410756092855,30
59,2.0124099398021738,30
60,2.012594124990669,30
61,2.0139284169124436,30
62,2.017479189567172,30
63,2.018300143359884,30
64,2.0217978968528265,30
65,2.0329786939660575,30
66,2.0329891792931076,30
67,2.0339479482599967,30
68,2.0339860314509925,30
69,2.038742659285245,30
70,2.0389656664643248,30
71,2.043410098368862,30
72,2.0435909404049584,30
73,2.0476965256955886,30
74,2.049990047218273,30
75,2.051092491266682,30
76,2.051948631540345,30
77,2.0542521932083693,30
78,2.0579908521270696,30
79,2.0584149308519266,30
80,2.0589346201917387,30
81,2.059308270220558,30
82,2.0596139882232265,30
83,2.06071338785993,30
84,2.0614062137860985,30
85,2.0643509782401535,30
86,2.065983469273569,30
87,2.0662378301339954,30
88,2.068569205549446,30
89,2.0704477501681446,30
90,2.072400524642897,30
91,2.0725647717424804,30
92,2.0741233427337833,30
93,2.075043079414372,30
94,2.0757731577753544,30
95,2.07660515403849,30
96,2.0771769705508607,30
97,2.0829139261026572,30
98,2.083272497995441,30
99,2.0836455710938093,30
100,2.0842948632076324,30
101,2.08862948309273,30
102,2.0888353215803295,30
103,2.088951744974676,30
104,2.08914335908459,30
105,2.0897478234618414,30
106,2.093263279730219,30
107,2.0965167625629837,30
108,2.097934063688778,30
109,2.0984473143853064,30
110,2.102721141886922,30
111,2.1041107459476653,30
112,2.1055056868910516,30
113,2.1062129226427047,30
114,2.1064666926104216,30
115,2.10900308552872,30
116,2.1098104810193843,30
117,2.110802160296127,30
118,2.111577634909096,30
119,2.1129953554411864,30
120,2.113336477444517,30
121,2.1133812108208945,30
122,2.1140139357257404,30
123,2.1142608010740003,30
124,2.119241770919721,30
125,2.1209328112103036,30
126,2.122911758998207,30
127,2.1240325746105735,30
128,2.129282481470993,30
129,2.1315989945325304,30
130,2.133288218503775,30
131,2.1347254501266213,30
132,2.137795690628867,30
133,2.1380223186121565,30
134,2.1403205557225595,30
135,2.1433583462676524,30
136,2.1436569765257927,30
137,2.1455820896506714,30
138,2.149342997628057,30
139,2.1501092175593923,30
140,2.151824290905772,30
141,2.1520491520016116,30
142,2.153860076775753,30
143,2.1539722435258732,30
144,2.1558380050952883,30
145,2.156544787099259,30
146,2.1618300979010616,30
147,2.1648114632971245,30
148,2.1671814479919598,30
149,2.1699209630471272,30
150,2.1704040292759843,30
151,2.170557655362637,30
152,2.1718596165971857,30
153,2.1718791584853543,30
154,2.1724351103682285,30
155,2.1732889783285905,30
156,2.173311080517542,30
157,2.1738711594118834,30
158,2.1738929523669865,30
159,2.174056799174728,30
160,2.174250509999745,30
161,2.1746276680647862,30
162,2.174967270413742,30
163,2.175530849204513,30
164,2.176744411915637,30
165,2.176944589710651,30
166,2.177281007756397,30
167,2.177663765110823,30
168,2.177971470524699,30
169,2.1784971982157533,30
170,2.1786833127900773,30
171,2.180909629041658,30
172,2.181187114429976,30
173,2.1839433970794966,30
174,2.1870776155129814,30
175,2.1873911207707684,30
176,2.188375421862826,30
177,2.189444043740279,30
178,2.191867541359538,30
179,2.1922934974942567,30
180,2.193141407792999,30
181,2.1942236665282944,30
182,2.19700682348138,30
183,2.19908867515074,30
184,2.199464150081531,30
185,2.200637942176607,30
186,2.2011368250404475,30
187,2.2020152814772214,30
188,2.2025522492513456,30
189,2.203325780201906,30
190,2.2035721759106677,30
191,2.204697770366613,30
192,2.2050789350140283,30
193,2.206735789807342,30
194,2.2068022667363856,30
195,2.2076730285575827,30
196,2.208179606296431,30
197,2.209400444840971,30
198,2.209680163577049,30
199,2.209878212022062,30
200,2.2101487922685386,30
201,2.210317074056593,30
202,2.211118691753661,30
203,2.211500581647131,30
204,2.212791013298057,30
205,2.215768680489044,30
206,2.216916871802184,30
207,2.2173870538395204,30
208,2.218297481825979,30
209,2.2185224744568095,30
210,2.2186206499386603,30
211,2.2189547990271907,30
212,2.2191266455881524,30
213,2.222441740722758,30
214,2.2231056998748526,30
215,2.2257621495951962,30
216,2.2266708959876906,30
217,2.2272206717689045,30
218,2.2295037371098116,30
219,2.2312490541961334,30
220,2.2312661845858672,30
221,2.2314297396901104,30
222,2.232681989351004,30
223,2.233254673834186,30
224,2.2336527511801307,30
225,2.234585416142822,30
226,2.236775585747366,30
227,2.237132497160254,30
228,2.239074568201432,30
229,2.2398549159695738,30
230,2.2414074379793334,30
231,2.241633350219938,30
232,2.2420267545665116,30
233,2.2421445251524768,30
234,2.2430152288881646,30
235,2.2431987769135318,30
236,2.24335747466308,30
237,2.243376878967214,30
238,2.2444666718393695,30
239,2.244893750340967,30
240,2.2450147826604696,30
241,2.2452597431326886,30
242,2.246105230965087,30
243,2.2477258203563903,30
244,2.248168305945626,30
245,2.248206634422333,30
246,2.248320215108802,30
247,2.2491196923568264,30
248,2.2499083100733754,30
249,2.250621851899923,30
250,2.2535882542562353,30
251,2.2545007902104413,30
252,2.2546238774051317,30
253,2.2555906517848388,30
254,2.2560068500184625,30
255,2.2574207547154845,30
256,2.257619642574709,30
257,2.258520359210882,30
258,2.259035108831167,30
259,2.259396297872345,30
260,2.2602399656737235,30
261,2.2603592081582993,30
262,2.2606169456209093,30
263,2.263526842949421,30
264,2.263631211646894,30
265,2.2651558047577462,30
266,2.2653266482062677,30
267,2.2661169034364033,30
268,2.2672936037967735,30
269,2.2675668855425326,30
270,2.2679017841799682,30
271,2.2679316364681226,30
272,2.268654228373879,30
273,2.2696078928037013,30
274,2.2697962780767424,30
275,2.2701412736689313,30
276,2.270250282131786,30
277,2.271306942482155,30
278,2.272377140095182,30
279,2.272603607077339,30
280,2.2732230112475897,30
281,2.275304427273682,30
282,2.275610733032532,30
283,2.2757595287238295,30
284,2.2757839557659927,30
285,2.2782259593222918,30
286,2.278775342457014,30
287,2.279297525842051,30
288,2.279395431633547,30
289,2.2796581153406077,30
290,2.280819334394161,30
291,2.2810396567011466,30
292,2.2813847313361606,30
293,2.2820345332688343,30
294,2.2826581269228723,30
295,2.283039875587517,30
296,2.2837025346445974,30
297,2.2848341710825655,30
298,2.286719087903587,30
299,2.2877137849382927,30
300,2.289642217179375,30
301,2.2898175368959075,30
302,2.290494816662186,30
303,2.290502501159977,30
304,2.291052735804615,30
305,2.291810001170663,30
306,2.2938115415533633,30
307,2.2945164687502704,30
308,2.2945808561714633,30
309,2.2947640842508217,30
310,2.295432325097912,30
311,2.2963212418212144,30
312,2.297136587797555,30
313,2.2973776278575717,30
314,2.298335041460701,30
315,2.298629535769934,30
316,2.2987617681318606,30
317,2.300968727535995,30
318,2.30131082263503,30
319,2.3016885398058244,30
320,2.302281436740537,30
321,2.3024133946301477,30
322,2.3028270715988937,30
323,2.305846706821176,30
324,2.3071574998212534,30
325,2.308470292715805,30
326,2.30973148916788,30
327,2.311111329907091,30
328,2.311960930227459,30
329,2.311960930227459,30
330,2.31370433047406,30
331,2.315071999039504,30
332,2.3168446543330257,30
333,2.3169412949310297,30
334,2.31753526100801,30
335,2.3181523761776806,30
336,2.3188996153240184,30
337,2.319825493821612,30
338,2.319825493821612,30
339,2.3200881156277857,30
340,2.32166613469896,30
341,2.321782177071173,30
342,2.3228499021860394,30
343,2.323359453603422,30
344,2.3234502130797368,30
345,2.323502723641209,30
346,2.3242838291634436,30
347,2.32536054552381,30
348,2.3257144590077314,30
349,2.326443527453727,30
350,2.326575406959892,30
351,2.329076995976003,30
352,2.3294532642662835,30
353,2.3295697855608686,30
354,2.3304053524119217,30
355,2.330574590983618,30
356,2.331555424408253,30
357,2.333710576023663,30
358,2.334831824677602,30
359,2.334831824677602,30
360,2.3351401897084427,30
361,2.3359150427424447,30
362,2.3362993105160905,30
363,2.337047270631277,30
364,2.337197566368583,30
365,2.337657902171289,30
366,2.3377486374190712,30
367,2.3381931769655293,30
368,2.338666991220002,30
369,2.3400760501049036,30
370,2.3401580119944665,30
371,2.3415156197705453,30
372,2.3417352082559693,30
373,2.342317172658461,30
374,2.3435947433859456,30
375,2.3438576812701206,30
376,2.344550079345451,30
377,2.3452461502750084,30
378,2.3455120068052597,30
379,2.34558400659581,30
380,2.3456394930223325,30
381,2.3466603759033,30
382,2.3468723672293845,30
383,2.3477001380056564,30
384,2.348141182630324,30
385,2.3486573617276116,30
386,2.3494943792406873,30
387,2.3511051575230786,30
388,2.351782897510983,30
389,2.3522928950227606,30
390,2.353497800177246,30
391,2.3535673122509775,30
392,2.353749404230287,30
393,2.353921548977472,30
394,2.3553231407033897,30
395,2.3554402318170555,30
396,2.3560060450650715,30
397,2.3569289991680336,30
398,2.3570677989733206,30
399,2.357328951482358,30
400,2.3579248422631793,30
401,2.358190477699512,30
