reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
0,2,0.9914529914529915,117,4,8,1449
1,1,0.467823571945047,654,4,8,1449
2,1,0.1431686046511628,197,4,8,1449
3,1,0.3866279069767442,532,4,8,1449
0,3,0.9914529914529915,117,4,9,1450
1,0,0.8296774193548387,654,4,9,1450
2,0,0.14133016627078385,197,4,9,1450
3,1,0.8534621578099839,532,4,9,1450
0,1,1.0,117,4,10,1451
1,2,0.8138639281129654,654,4,10,1451
2,2,0.14354066985645933,197,4,10,1451
3,3,0.8384,532,4,10,1451
0,1,0.9914529914529915,117,4,11,1452
1,3,0.37534246575342467,654,4,11,1452
2,0,0.35567970204841715,197,4,11,1452
3,3,0.458377239199157,532,4,11,1452
0,3,0.9914529914529915,117,4,12,1453
1,2,0.8237547892720306,654,4,12,1453
2,2,0.13700234192037472,197,4,12,1453
3,0,0.8370967741935483,532,4,12,1453
0,3,0.28078817733990147,117,4,13,1454
1,3,0.3638709677419355,654,4,13,1454
2,1,0.322463768115942,197,4,13,1454
3,0,0.7136150234741784,532,4,13,1454
0,1,1.0,117,4,14,1455
1,0,0.9833080424886191,654,4,14,1455
2,2,0.9949494949494949,197,4,14,1455
3,3,0.9813780260707635,532,4,14,1455
0,1,0.9914529914529915,117,4,15,1456
1,0,0.8326848249027238,654,4,15,1456
2,0,0.1380952380952381,197,4,15,1456
3,2,0.8496,532,4,15,1456
0,0,0.9914529914529915,117,4,16,1457
1,3,0.42996742671009774,654,4,16,1457
2,3,0.25547445255474455,197,4,16,1457
3,1,0.541871921182266,532,4,16,1457
0,2,0.9914529914529915,117,4,17,1458
1,1,0.47143890093998553,654,4,17,1458
2,1,0.14265025343953658,197,4,17,1458
3,1,0.38522809558291093,532,4,17,1458
0,1,0.9914529914529915,117,4,18,1459
1,2,0.362962962962963,654,4,18,1459
2,2,0.28637770897832815,197,4,18,1459
3,0,0.4982456140350877,532,4,18,1459
0,3,0.9914529914529915,117,4,19,1460
1,0,0.34798534798534797,654,4,19,1460
2,1,0.3391915641476274,197,4,19,1460
3,0,0.4737991266375546,532,4,19,1460
0,0,0.9914529914529915,117,4,20,1461
1,2,0.8413524057217165,654,4,20,1461
2,2,0.1322314049586777,197,4,20,1461
3,3,0.8477564102564102,532,4,20,1461
0,0,0.36115107913669064,299,5,1,1542
1,0,0.492040520984081,384,5,1,1542
2,3,0.8131313131313131,700,5,1,1542
3,4,1.0,116,5,1,1542
4,1,1.0,1,5,1,1542
0,0,0.3619744058500914,299,5,2,1543
1,0,0.41638225255972694,384,5,2,1543
2,2,0.7404255319148936,700,5,2,1543
3,1,1.0,116,5,2,1543
4,3,1.0,1,5,2,1543
0,3,0.5714285714285714,299,5,3,1544
1,4,0.6070763500931099,384,5,3,1544
2,1,0.8649006622516556,700,5,3,1544
3,0,1.0,116,5,3,1544
4,2,1.0,1,5,3,1544
0,4,0.5753846153846154,299,5,4,1545
1,3,0.5525846702317291,384,5,4,1545
2,1,0.7867950481430537,700,5,4,1545
3,2,1.0,116,5,4,1545
4,3,0.002053388090349076,1,5,4,1545
0,4,0.569620253164557,299,5,5,1546
1,2,0.32608695652173914,384,5,5,1546
2,0,0.4591715976331361,700,5,5,1546
3,1,1.0,116,5,5,1546
4,3,1.0,1,5,5,1546
0,3,0.3252032520325203,299,5,6,1547
1,3,0.46016483516483514,384,5,6,1547
2,0,0.7385377942998761,700,5,6,1547
3,1,1.0,116,5,6,1547
4,4,1.0,1,5,6,1547
0,4,0.569620253164557,299,5,7,1548
1,2,0.32522407170294493,384,5,7,1548
2,1,0.4598108747044917,700,5,7,1548
