k,bootstrap_runs,ari_mean,ari_std,ari_minimum,ari_maximum,mean_jaccard,jaccard_std,minimum_jaccard,runtime_mean,worst_cluster_mean_jaccard,best_cluster_mean_jaccard
2,20,0.3554874935667789,0.48530285641791443,-0.0024057902936608015,1.0,0.6676665004222904,0.25221136946750666,0.07733333333333334,0.14340940425,0.4041286502430303,0.9312043506015504
3,20,0.46358826760089694,0.45031987986623795,0.0029383486170657595,1.0,0.576291377818737,0.22341367786292418,0.003896103896103896,0.2207749811000001,0.30185785588777075,0.7268123431590545
4,20,0.5020634390835264,0.28829470072924424,0.15543678097095642,0.9749767818063914,0.6391598505238274,0.15007369930573872,0.1322314049586777,0.23224513730000024,0.29257351341839183,0.9567744516020378
5,20,0.348174578901021,0.17794519278272652,0.12405121973947839,0.6903560510044409,0.6535622475983437,0.09109210607505148,0.0015290519877675841,0.26095306454999995,0.3928385634490569,0.997848511641615
6,20,0.6441499375010504,0.29076327098672,0.11452229453790384,0.9609920097189179,0.6827445361839832,0.1199085962944208,0.008547008547008548,0.2877737165500003,0.0909333594484548,0.9793138349853413
7,20,0.619225304242724,0.21895453460059267,0.2388302617581764,0.9574641094960906,0.6616890058629524,0.10501752052251509,0.004424778761061947,0.29942846664999934,0.12206250970393158,0.9776192993246966
8,20,0.6148619369164219,0.14276749478617157,0.32192184550634656,0.9511113753892473,0.6381003619585341,0.09609307032940133,0.004608294930875576,0.3175842019499996,0.08348710787851332,0.9788336162553002
