algorithm,source_experiment,parameters,selected_k,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,runtime_seconds
Hierarchical,Hierarchical cutting strategies,"requested_k=2.0,actual_k=2,linkage=average,strategy=maximum_silhouette",2,,,0.8881794513916383,0.0774514391362384,135.47521856287983,-0.0007498102912277,9.654323701400598e-05,-0.0006456693945753,0.9979995020065136,6.671971599717742e-05,0.0001745799901169,9.654323701400598e-05,0.9985,0.0548266659999998
Hierarchical,Hierarchical cutting strategies,"actual_k=4,linkage=ward,strategy=fixed_height",4,,,0.1081709715593873,1.3278061696454062,108.65309954561802,-0.00273460834776,0.0007851194749545,-0.0007466638156083,0.9336742611886006,0.0092519661835865,0.000409954034536,0.0007851194749545,0.9985,0.0555490829999998
Hierarchical,Hierarchical cutting strategies,"requested_k=2.0,actual_k=2,linkage=ward,strategy=maximum_silhouette",2,,,0.8881794513916383,0.0774514391362384,135.47521856287983,-0.0007498102912277,9.654323701400598e-05,-0.0006456693945753,0.9979995020065136,6.671971599717742e-05,0.0001745799901169,9.654323701400598e-05,0.9985,0.0555490829999998
DBSCAN,DBSCAN grid search,"eps=4.288817,min_samples=10",1,1.0,0.0826666666666666,,,,0.0324398817214627,0.022008228699437,0.0213737534943414,0.9219221353200748,0.2285618865697879,0.0115607045895707,0.022008228699437,0.998,0.112475667
DBSCAN,DBSCAN grid search,"eps=4.747305,min_samples=10",1,1.0,0.0565,,,,0.0501979100743158,0.0339328876438521,0.0331622286807325,0.9462128682266904,0.2724254121722617,0.0180932792500242,0.0339328876438521,0.998,0.176060541
DBSCAN,DBSCAN grid search,"eps=5.707336,min_samples=10",1,1.0,0.0305,,,,0.0861764447004167,0.0551544828688505,0.054184707831235,0.9708257170089828,0.2884474176395288,0.0304925008795473,0.0551544828688505,0.998,0.3972727909999989
DBSCAN,DBSCAN grid search,"eps=6.699747,min_samples=10",1,1.0,0.0181666666666666,,,,0.1431287716939845,0.094231123769625,0.0931648053949569,0.9829121260367708,0.3436961307429487,0.0546004628015122,0.094231123769625,0.998,0.6609555409999999
DBSCAN,DBSCAN grid search,"eps=9.808864,min_samples=10",1,1.0,0.0053333333333333,,,,0.2691508272325373,0.1658237775444627,0.1647595803708793,0.9946607259119808,0.2738964562807739,0.1189063221940384,0.1658237775444627,0.998,0.7971666660000025
DBSCAN,DBSCAN grid search,"eps=4.596320,min_samples=20",1,1.0,0.0691666666666666,,,,0.0399691655412966,0.0270256551514351,0.0263269075170371,0.934349378811122,0.2490523370159284,0.0142880542437404,0.0270256551514351,0.998,0.1856206659999983
DBSCAN,DBSCAN grid search,"eps=5.071345,min_samples=20",1,1.0,0.0475,,,,0.0541978871716725,0.0339856117709932,0.0331497779846868,0.9544398881806272,0.2420611417070454,0.0182757737930352,0.0339856117709931,0.998,0.2769284580000004
