linkage,strategy,requested_k,actual_k,cut_height,cophenetic_correlation,minimum_cluster_size,maximum_cluster_size,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,fixed_height_ratio
single,fixed_height,,2,34.47812704447802,0.9449035054336191,1,1999,0.035471457999999956,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,0.7
single,maximum_silhouette,2.0,2,41.51601134156897,0.9449035054336191,1,1999,0.035471457999999956,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,
complete,fixed_height,,2,62.13338132056073,0.7787168434641618,1,1999,0.06622066700000007,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,0.7
complete,maximum_silhouette,2.0,2,74.40679939947553,0.7787168434641618,1,1999,0.06622066700000007,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,
average,fixed_height,,3,43.21643309619142,0.9538541303163556,1,1998,0.058498832999999806,0.8583336924646292,0.09109803909942392,114.30378991918005,-0.0012001159780544682,0.00015130202414960224,-0.0010120258422186108,0.9974986277001175,0.00013347284203051808,0.00017462877933544895,0.00015130202414960226,0.9985,0.7
average,maximum_silhouette,2.0,2,55.17450822429183,0.9538541303163556,1,1999,0.058498832999999806,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,
ward,fixed_height,,4,60.88668393361748,0.27425627335104985,1,1866,0.0629602079999998,0.10817097155938735,1.3278061696454062,108.65309954561802,-0.0027346083477600754,0.0007851194749545195,-0.0007466638156083852,0.9336742611886006,0.009251966183586584,0.00040995403453605324,0.0007851194749545195,0.9985,0.7
ward,maximum_silhouette,2.0,2,78.69756666803335,0.27425627335104985,1,1999,0.0629602079999998,0.8881794513916383,0.07745143913623846,135.47521856287983,-0.0007498102912277209,9.654323701400598e-05,-0.0006456693945753384,0.9979995020065136,6.671971599717742e-05,0.0001745799901169582,9.654323701400598e-05,0.9985,
